SessionNo	LogTime	CustID	GroupID	ProfID	Act	BadActor
-1	2019-05-02 22:00:00.000	s8978822	main	ehost	201	0
-1317037743	2019-05-02 22:00:01.000	s8989984	main	ehost	115	0
-1	2019-05-02 22:00:01.000	s8992667	main	eds	201	0
-2053409431	2019-05-02 22:00:01.000	s8978822	main	ehost	127	0
-2044289871	2019-05-02 22:00:01.000	s8994204	main	eds	121	0
-1241614628	2019-05-02 22:00:01.000	s8994204	main	ehost	115	0
-1482919834	2019-05-02 22:00:01.000	s8983360	main	ehost	121	0
1243652527	2019-05-02 22:00:02.000	s8876267	main	ehost	121	0
1243652527	2019-05-02 22:00:02.000	s8876267	main	ehost	411	0
1724757991	2019-05-02 22:00:02.000	s9001579	main	eds	115	0
1724757991	2019-05-02 22:00:02.000	s9001579	main	eds	115	0
-554110590	2019-05-02 22:00:02.000	s8992667	main	eds	121	0
482505840	2019-05-02 22:00:02.000	s8989685	main	ehost	121	0
-1975657966	2019-05-02 22:00:02.000	s8951337	main	eds	115	0
-464339464	2019-05-02 22:00:02.000	s8990848	main	ehost	115	0
-360540630	2019-05-02 22:00:02.000	s8998464	main	rv1	123	0
1243652527	2019-05-02 22:00:02.000	s8876267	main	ehost	410	0
-482118226	2019-05-02 22:00:03.000	s8875834	main	ehost	115	0
1676453020	2019-05-02 22:00:03.000	s8992667	main	ehost	115	0
1637677448	2019-05-02 22:00:04.000	s9001579	main	eds	115	0
-554110590	2019-05-02 22:00:04.000	s8992667	main	eds	219	0
1540087477	2019-05-02 22:00:04.000	s8989685	main	ehost	121	0
-2053409431	2019-05-02 22:00:04.000	s8978822	main	ehost	135	0
-2053409431	2019-05-02 22:00:04.000	s8978822	main	ehost	115	0
201339633	2019-05-02 22:00:04.000	s8987015	main	ehost	511	0
1637677448	2019-05-02 22:00:04.000	s9001579	main	eds	124	0
-2053409431	2019-05-02 22:00:05.000	s8978822	main	ehost	127	0
-2053409431	2019-05-02 22:00:05.000	s8978822	main	ehost	126	0
-835961369	2019-05-02 22:00:06.000	s9002934	main	eds_cat	121	0
-2053409431	2019-05-02 22:00:06.000	s8978822	main	ehost	407	0
-1975657966	2019-05-02 22:00:06.000	s8951337	main	eds	116	0
-2053409431	2019-05-02 22:00:06.000	s8978822	main	ehost	406	0
-2053409431	2019-05-02 22:00:08.000	s8978822	main	ehost	127	0
-1097577744	2019-05-02 22:00:08.000	s8876267	main	ehost	111	0
-1482919834	2019-05-02 22:00:08.000	s8983360	main	ehost	115	0
-2053409431	2019-05-02 22:00:08.000	s8978822	main	ehost	127	0
-1097577744	2019-05-02 22:00:08.000	s8876267	main	ehost	124	0
-1097577744	2019-05-02 22:00:08.000	s8876267	main	ehost	117	0
259854823	2019-05-02 22:00:09.000	s8951337	main	ehost	115	0
259854823	2019-05-02 22:00:09.000	s8951337	main	ehost	117	0
-2044289871	2019-05-02 22:00:09.000	s8994204	main	eds	115	0
-554110590	2019-05-02 22:00:09.000	s8992667	main	eds	115	0
259854823	2019-05-02 22:00:09.000	s8951337	main	ehost	111	0
1637677448	2019-05-02 22:00:10.000	s9001579	main	eds	407	0
