SessionNo	LogTime	CustID	GroupID	ProfID	Act	BadActor
1404104110	2017-01-26 09:15:38.000	s1123049	trial	ebma	111	1
1404104110	2017-01-26 09:15:45.000	s1123049	trial	ebma	121	1
1404104110	2017-01-26 09:16:07.000	s1123049	trial	ebma	121	1
1404104110	2017-01-26 09:16:12.000	s1123049	trial	ebma	115	1
1404104110	2017-01-26 09:16:41.000	s1123049	trial	ebma	115	1
1404104110	2017-01-26 09:17:00.000	s1123049	trial	ebma	115	1
-1105404075	2017-01-26 09:18:40.000	s2131157	main	ehost	111	1
-1105404075	2017-01-26 09:18:45.000	s2131157	main	ehost	311	1
-1105404075	2017-01-26 09:18:55.000	s2131157	main	ehost	121	1
-1105404075	2017-01-26 09:19:06.000	s2131157	main	ehost	121	1
-1105404075	2017-01-26 09:19:45.000	s2131157	main	ehost	115	1
-1105404075	2017-01-26 09:20:09.000	s2131157	main	ehost	115	1
-1105404075	2017-01-26 09:20:12.000	s2131157	main	ehost	115	1
-1105404075	2017-01-26 09:20:19.000	s2131157	main	ehost	115	1
-1105404075	2017-01-26 09:20:49.000	s2131157	main	ehost	121	1
-1105404075	2017-01-26 09:20:56.000	s2131157	main	ehost	115	1
-1105404075	2017-01-26 09:21:46.000	s2131157	main	ehost	121	1
-1105404075	2017-01-26 09:21:56.000	s2131157	main	ehost	121	1
-1105404075	2017-01-26 09:22:20.000	s2131157	main	ehost	121	1
-1105404075	2017-01-26 09:22:28.000	s2131157	main	ehost	121	1
2093688138	2017-01-26 09:25:21.000	s8884531	main	ehost	111	1
2093688138	2017-01-26 09:25:25.000	s8884531	main	ehost	311	1
2093688138	2017-01-26 09:25:34.000	s8884531	main	ehost	121	1
2093688138	2017-01-26 09:26:09.000	s8884531	main	ehost	121	1
2093688138	2017-01-26 09:26:32.000	s8884531	main	ehost	116	1
-1691052192	2017-01-26 09:26:36.000	s8884531	main	ftf	317	1
2093688138	2017-01-26 09:26:59.000	s8884531	main	ehost	121	1
2093688138	2017-01-26 09:26:59.000	s8884531	main	ehost	123	1
2093688138	2017-01-26 09:27:07.000	s8884531	main	ehost	121	1
2093688138	2017-01-26 09:27:15.000	s8884531	main	ehost	121	1
2093688138	2017-01-26 09:27:35.000	s8884531	main	ehost	115	1
1144462183	2017-01-26 09:28:38.000	s8884560	main	ehost	111	1
1144462183	2017-01-26 09:28:43.000	s8884560	main	ehost	311	1
1144462183	2017-01-26 09:28:50.000	s8884560	main	ehost	121	1
1745977026	2017-01-26 09:30:03.000	s1138983	main	ehost	111	1
1745977026	2017-01-26 09:30:07.000	s1138983	main	ehost	311	1
1745977026	2017-01-26 09:30:12.000	s1138983	main	ehost	121	1
1745977026	2017-01-26 09:30:41.000	s1138983	main	ehost	121	1
766776921	2017-01-26 09:30:53.000	s1138983	main	ehost	111	1
766776921	2017-01-26 09:30:57.000	s1138983	main	ehost	112	1
766776921	2017-01-26 09:30:57.000	s1138983	main	ehost	311	1
1799464172	2017-01-26 09:33:58.000	s9002934	main	ehost	111	1
1799464172	2017-01-26 09:34:12.000	s9002934	main	ehost	311	1
1799464172	2017-01-26 09:34:22.000	s9002934	main	ehost	121	1
1799464172	2017-01-26 09:34:52.000	s9002934	main	ehost	121	1
1799464172	2017-01-26 09:35:10.000	s9002934	main	ehost	121	1
1799464172	2017-01-26 09:36:29.000	s9002934	main	ehost	115	1
1799464172	2017-01-26 09:36:29.000	s9002934	main	ehost	135	1
1799464172	2017-01-26 09:36:29.000	s9002934	main	ehost	406	1
1799464172	2017-01-26 09:36:29.000	s9002934	main	ehost	407	1
1799464172	2017-01-26 09:36:32.000	s9002934	main	ehost	126	1
1799464172	2017-01-26 09:36:35.000	s9002934	main	ehost	127	1
1799464172	2017-01-26 09:36:38.000	s9002934	main	ehost	127	1
1799464172	2017-01-26 09:36:51.000	s9002934	main	ehost	126	1
1799464172	2017-01-26 09:36:52.000	s9002934	main	ehost	127	1
1799464172	2017-01-26 09:36:54.000	s9002934	main	ehost	115	1
1799464172	2017-01-26 09:37:52.000	s9002934	main	ehost	121	1
1411837360	2017-01-26 11:55:27.000	s4504895	trial	ehosttrial	111	1
1411837360	2017-01-26 11:55:31.000	s4504895	trial	ehosttrial	311	1
1411837360	2017-01-26 11:55:56.000	s4504895	trial	ehosttrial	121	1
-497390596	2017-01-26 11:57:35.000	s3694324	main	ebma	111	1
-497390596	2017-01-26 11:57:41.000	s3694324	main	ebma	121	1
-497390596	2017-01-26 11:58:05.000	s3694324	main	ebma	121	1
-497390596	2017-01-26 11:58:28.000	s3694324	main	ebma	121	1
2032692147	2017-01-26 12:00:48.000	anderson	main	ehost	111	1
2032692147	2017-01-26 12:00:57.000	anderson	main	ehost	311	1
2032692147	2017-01-26 12:01:05.000	anderson	main	ehost	121	1
2032692147	2017-01-26 12:01:37.000	anderson	main	ehost	115	1
2032692147	2017-01-26 12:01:45.000	anderson	main	ehost	115	1
2032692147	2017-01-26 12:01:45.000	anderson	main	ehost	135	1
