SessionNo	LogTime	CustID	GroupID	ProfID	Act	BadActor
2006041891	2019-05-15 16:00:02.000	s8983360	main	ehost	116	0
2006041891	2019-05-15 16:00:02.000	s8983360	main	ehost	115	0
-1400876300	2019-05-15 16:00:03.000	s8944763	main	eds	121	0
714662012	2019-05-15 16:00:05.000	s8876267	main	edsocls	121	0
1479777836	2019-05-15 16:00:06.000	s8944763	main	ehost	121	0
-1410404141	2019-05-15 16:00:07.000	s8975667	main	ehost	121	0
1472938564	2019-05-15 16:00:08.000	s8983751	main	asp	121	0
1278692435	2019-05-15 16:00:09.000	s8925616	main	ehost	121	0
-975932698	2019-05-15 16:00:10.000	s8986718	main	dmp	121	0
1899534857	2019-05-15 16:00:10.000	s9001156	main	ehost	121	0
1490786542	2019-05-15 16:00:11.000	s8992667	main	eds	115	0
-47976784	2019-05-15 16:00:12.000	s8887969	main	ehost	115	0
-47976784	2019-05-15 16:00:12.000	s8887969	main	ehost	115	0
1899534857	2019-05-15 16:00:13.000	s9001156	main	ehost	115	0
-621344439	2019-05-15 16:00:13.000	s8876267	main	ehost	111	0
-621344439	2019-05-15 16:00:13.000	s8876267	main	ehost	117	0
-621344439	2019-05-15 16:00:13.000	s8876267	main	ehost	124	0
-1410404141	2019-05-15 16:00:14.000	s8975667	main	ehost	410	0
-1410404141	2019-05-15 16:00:14.000	s8975667	main	ehost	121	0
877575006	2019-05-15 16:00:14.000	s9002934	main	eds_cat	111	0
-621344439	2019-05-15 16:00:14.000	s8876267	main	ehost	121	0
877575006	2019-05-15 16:00:14.000	s9002934	main	eds_cat	117	0
-1410404141	2019-05-15 16:00:14.000	s8975667	main	ehost	411	0
-1	2019-05-15 16:00:15.000	s8876267	main	ehost	201	0
877575006	2019-05-15 16:00:15.000	s9002934	main	eds_cat	121	0
-1445286476	2019-05-15 16:00:15.000	s8989984	main	ehost	127	0
-1	2019-05-15 16:00:16.000	s9002934	main	eds_cat	201	0
2141385304	2019-05-15 16:00:16.000	s8989984	main	ehost	127	0
-1191661325	2019-05-15 16:00:17.000	s8989984	main	ehost	111	0
-1191661325	2019-05-15 16:00:17.000	s8989984	main	ehost	117	0
-1	2019-05-15 16:00:17.000	s8989984	main	ehost	201	0
-2004363747	2019-05-15 16:00:18.000	s8978822	main	eitws1	111	0
-1400876300	2019-05-15 16:00:18.000	s8944763	main	eds	115	0
1448210901	2019-05-15 16:00:19.000	s8876267	main	ehost	115	0
-1783226111	2019-05-15 16:00:19.000	s8983360	main	ehost	121	0
-530923457	2019-05-15 16:00:20.000	s8998971	main	eds	121	0
877575006	2019-05-15 16:00:20.000	s9002934	main	eds_cat	115	0
554028075	2019-05-15 16:00:20.000	s8985755	main	ehost	121	0
-1191661325	2019-05-15 16:00:21.000	s8989984	main	ehost	115	0
-493662208	2019-05-15 16:00:21.000	s8951337	main	eds	117	0
-1191661325	2019-05-15 16:00:21.000	s8989984	main	ehost	135	0
-1960847054	2019-05-15 16:00:21.000	s8989685	main	edsapi	219	0
-1960847054	2019-05-15 16:00:21.000	s8989685	main	edsapi	111	0
-1191661325	2019-05-15 16:00:21.000	s8989984	main	ehost	407	0
-493662208	2019-05-15 16:00:21.000	s8951337	main	eds	111	0
-1191661325	2019-05-15 16:00:21.000	s8989984	main	ehost	406	0
0	2019-05-15 16:00:21.000	s8989685	main		201	0
-1960847054	2019-05-15 16:00:21.000	s8989685	main	edsapi	121	0
2101389159	2019-05-15 16:00:21.000	s8992094	main	ehost	115	0
-493662208	2019-05-15 16:00:22.000	s8951337	main	eds	121	0
0	2019-05-15 16:00:22.000	s8989685	main		201	0
-975932698	2019-05-15 16:00:22.000	s8986718	main	dmp	115	0
0	2019-05-15 16:00:22.000	s8989685	main		201	0
-1191661325	2019-05-15 16:00:23.000	s8989984	main	ehost	127	0
-1	2019-05-15 16:00:23.000	s8951337	main	eds	201	0
-1191661325	2019-05-15 16:00:24.000	s8989984	main	ehost	127	0
-1191661325	2019-05-15 16:00:24.000	s8989984	main	ehost	126	0
-621344439	2019-05-15 16:00:24.000	s8876267	main	ehost	121	0
334511803	2019-05-15 16:00:25.000	s9002934	main	ehost	112	0
714662012	2019-05-15 16:00:25.000	s8876267	main	edsocls	115	0
-236231144	2019-05-15 16:00:26.000	s8944763	main	eds	117	0
-236231144	2019-05-15 16:00:26.000	s8944763	main	eds	111	0
-1	2019-05-15 16:00:27.000	s8944763	main	eds	201	0
1448210901	2019-05-15 16:00:27.000	s8876267	main	ehost	115	0
-236231144	2019-05-15 16:00:28.000	s8944763	main	eds	121	0
-1445286476	2019-05-15 16:00:29.000	s8989984	main	ehost	127	0
-1050630179	2019-05-15 16:00:29.000	s8876267	main	ftf	317	0
-1050630179	2019-05-15 16:00:29.000	s8876267	main	ftf	316	0
1448210901	2019-05-15 16:00:29.000	s8876267	main	ehost	116	0
1853882159	2019-05-15 16:00:29.000	s9000138	main	ehost	121	0
333265650	2019-05-15 16:00:30.000	s8887969	main	ehost	111	0
333265650	2019-05-15 16:00:30.000	s8887969	main	ehost	117	0
-1990918752	2019-05-15 16:00:31.000	s8876267	main	eds	111	0
201355153	2019-05-15 16:00:31.000	s8887969	main	ehost	511	0
333265650	2019-05-15 16:00:31.000	s8887969	main	ehost	115	0
201355153	2019-05-15 16:00:31.000	s8887969	main	ehost	513	0
333265650	2019-05-15 16:00:31.000	s8887969	main	ehost	115	0
1899534857	2019-05-15 16:00:31.000	s9001156	main	ehost	121	0
1087841694	2019-05-15 16:00:31.000	s8987015	main	ehost	111	0
-1	2019-05-15 16:00:31.000	s8887969	main	ehost	201	0
-1990918752	2019-05-15 16:00:31.000	s8876267	main	eds	117	0
574411667	2019-05-15 16:00:32.000	s8992667	main	eds	117	0
444840763	2019-05-15 16:00:32.000	s8951337	main	eds	117	0
-1	2019-05-15 16:00:32.000	s8987015	main	ehost	201	0
444840763	2019-05-15 16:00:32.000	s8951337	main	eds	111	0
574411667	2019-05-15 16:00:32.000	s8992667	main	eds	124	0
-1	2019-05-15 16:00:32.000	s8876267	main	eds	201	0
574411667	2019-05-15 16:00:32.000	s8992667	main	eds	111	0
-1191661325	2019-05-15 16:00:33.000	s8989984	main	ehost	127	0
-1410404141	2019-05-15 16:00:33.000	s8975667	main	ehost	410	0
-1191661325	2019-05-15 16:00:33.000	s8989984	main	ehost	127	0
-1410404141	2019-05-15 16:00:33.000	s8975667	main	ehost	411	0
-1	2019-05-15 16:00:33.000	s8992667	main	eds	201	0
-190074100	2019-05-15 16:00:33.000	s8989685	main	ehost	123	0
444840763	2019-05-15 16:00:33.000	s8951337	main	eds	121	0
-1191661325	2019-05-15 16:00:33.000	s8989984	main	ehost	126	0
-1191661325	2019-05-15 16:00:33.000	s8989984	main	ehost	127	0
-1410404141	2019-05-15 16:00:33.000	s8975667	main	ehost	121	0
-1445286476	2019-05-15 16:00:33.000	s8989984	main	ehost	127	0
333265650	2019-05-15 16:00:34.000	s8887969	main	ehost	115	0
-1191661325	2019-05-15 16:00:34.000	s8989984	main	ehost	127	0
574411667	2019-05-15 16:00:34.000	s8992667	main	eds	121	0
-621344439	2019-05-15 16:00:34.000	s8876267	main	ehost	410	0
-621344439	2019-05-15 16:00:34.000	s8876267	main	ehost	411	0
-1990918752	2019-05-15 16:00:34.000	s8876267	main	eds	121	0
-621344439	2019-05-15 16:00:34.000	s8876267	main	ehost	121	0
1899534857	2019-05-15 16:00:34.000	s9001156	main	ehost	115	0
-1	2019-05-15 16:00:34.000	s8951337	main	eds	201	0
1278692435	2019-05-15 16:00:35.000	s8925616	main	ehost	115	0
1864630148	2019-05-15 16:00:37.000	s8998971	main	eds	121	0
-1410404141	2019-05-15 16:00:39.000	s8975667	main	ehost	115	0
1864630148	2019-05-15 16:00:39.000	s8998971	main	eds	121	0
554028075	2019-05-15 16:00:40.000	s8985755	main	ehost	121	0
1198599869	2019-05-15 16:00:40.000	s8876267	main	edsocls	121	0
1087841694	2019-05-15 16:00:42.000	s8987015	main	ehost	121	0
1490786542	2019-05-15 16:00:43.000	s8992667	main	eds	115	0
1278692435	2019-05-15 16:00:43.000	s8925616	main	ehost	115	0
1490786542	2019-05-15 16:00:43.000	s8992667	main	eds	116	0
1479777836	2019-05-15 16:00:43.000	s8944763	main	ehost	115	0
1278692435	2019-05-15 16:00:43.000	s8925616	main	ehost	115	0
-1269239661	2019-05-15 16:00:44.000	s8987015	main	ehost	115	0
-1269239661	2019-05-15 16:00:44.000	s8987015	main	ehost	115	0
1893942232	2019-05-15 16:00:44.000	s8978822	main	ehost	115	0
1536629262	2019-05-15 16:00:44.000	s8983360	main	ehost	115	0
2141385304	2019-05-15 16:00:46.000	s8989984	main	ehost	126	0
-1240424934	2019-05-15 16:00:46.000	s8876267	main	eds	111	0
-1240424934	2019-05-15 16:00:46.000	s8876267	main	eds	117	0
1899534857	2019-05-15 16:00:47.000	s9001156	main	ehost	121	0
1853882159	2019-05-15 16:00:47.000	s9000138	main	ehost	121	0
